pred_col,level_type,text_col_1,text_col_2
QA_RT,Adv,flesch_reading_ease,SBERT
QA_RT,Adv,flesch_reading_ease,gpt-4o_clear_prompt
QA_RT,Adv,flesch_reading_ease,gpt-5_clear_prompt
QA_RT,Adv,flesch_reading_ease,gemini-2.0-flash_clear_prompt
QA_RT,Adv,flesch_reading_ease,gemini-2.5-pro_clear_prompt
QA_RT,Adv,flesch_reading_ease,llama-3.3-70b-versatile_clear_prompt
QA_RT,Adv,flesch_reading_ease,claude-sonnet-4-0_clear_prompt
QA_RT,Adv,flesch_reading_ease,lexile
QA_RT,Adv,flesch_reading_ease,text_evaluator
QA_RT,Adv,flesch_reading_ease,gpt-4o_simple_prompt
QA_RT,Adv,flesch_reading_ease,gpt-5_simple_prompt
QA_RT,Adv,flesch_reading_ease,gemini-2.0-flash_simple_prompt
QA_RT,Adv,flesch_reading_ease,gemini-2.5-pro_simple_prompt
QA_RT,Adv,flesch_reading_ease,llama-3.3-70b-versatile_simple_prompt
QA_RT,Adv,flesch_reading_ease,claude-sonnet-4-0_simple_prompt
QA_RT,Adv,flesch_reading_ease,gpt-4o_clear_specific_prompt
QA_RT,Adv,flesch_reading_ease,gpt-5_clear_specific_prompt
QA_RT,Adv,flesch_reading_ease,gemini-2.0-flash_clear_specific_prompt
QA_RT,Adv,flesch_reading_ease,gemini-2.5-pro_clear_specific_prompt
QA_RT,Adv,flesch_reading_ease,llama-3.3-70b-versatile_clear_specific_prompt
QA_RT,Adv,flesch_reading_ease,claude-sonnet-4-0_clear_specific_prompt
QA_RT,Adv,dale_chall_score,SBERT
QA_RT,Adv,dale_chall_score,gpt-4o_clear_prompt
QA_RT,Adv,dale_chall_score,gpt-5_clear_prompt
QA_RT,Adv,dale_chall_score,gemini-2.0-flash_clear_prompt
QA_RT,Adv,dale_chall_score,gemini-2.5-pro_clear_prompt
QA_RT,Adv,dale_chall_score,llama-3.3-70b-versatile_clear_prompt
QA_RT,Adv,dale_chall_score,claude-sonnet-4-0_clear_prompt
QA_RT,Adv,dale_chall_score,lexile
QA_RT,Adv,dale_chall_score,text_evaluator
QA_RT,Adv,dale_chall_score,gpt-4o_simple_prompt
QA_RT,Adv,dale_chall_score,gpt-5_simple_prompt
QA_RT,Adv,dale_chall_score,gemini-2.0-flash_simple_prompt
QA_RT,Adv,dale_chall_score,gemini-2.5-pro_simple_prompt
QA_RT,Adv,dale_chall_score,llama-3.3-70b-versatile_simple_prompt
QA_RT,Adv,dale_chall_score,claude-sonnet-4-0_simple_prompt
QA_RT,Adv,dale_chall_score,gpt-4o_clear_specific_prompt
QA_RT,Adv,dale_chall_score,gpt-5_clear_specific_prompt
QA_RT,Adv,dale_chall_score,gemini-2.0-flash_clear_specific_prompt
QA_RT,Adv,dale_chall_score,gemini-2.5-pro_clear_specific_prompt
QA_RT,Adv,dale_chall_score,llama-3.3-70b-versatile_clear_specific_prompt
QA_RT,Adv,dale_chall_score,claude-sonnet-4-0_clear_specific_prompt
QA_RT,Adv,gunning_fog_index,SBERT
QA_RT,Adv,gunning_fog_index,gpt-4o_clear_prompt
QA_RT,Adv,gunning_fog_index,gpt-5_clear_prompt
QA_RT,Adv,gunning_fog_index,gemini-2.0-flash_clear_prompt
QA_RT,Adv,gunning_fog_index,gemini-2.5-pro_clear_prompt
