resolution,row_index,col_index,pred_col,measure,bin_coef,bin_coef_p,bin_coef_star,increase_symbol,n_values
sentence,0,0,mean_nonzero_TF,ARI,-0.0001575695485122,0.8439349392423591,ns,ns -,5
sentence,0,0,mean_nonzero_TF,CAREC,0.0012455367060114,0.3186852207443493,ns,ns +,5
sentence,0,0,mean_nonzero_TF,CARES,1.0721755348750872e-05,0.9856934704297012,ns,ns +,5
sentence,0,0,mean_nonzero_TF,CML2RI,0.0003913112147419,0.399658013957546,ns,ns +,5
sentence,0,0,mean_nonzero_TF,PLL_bert-base-uncased,0.0007313722107798,0.1423196433788988,ns,ns +,5
sentence,0,0,mean_nonzero_TF,Pythia 70M Mean,0.0004056453065985,0.5396243609182152,ns,ns +,5
sentence,0,0,mean_nonzero_TF,SBERT,-0.0004457690464246,0.5697330099244574,ns,ns -,5
sentence,0,0,mean_nonzero_TF,avg_embedding_depth,0.0001906575920068,0.6583792252408627,ns,ns +,5
sentence,0,0,mean_nonzero_TF,avg_integration_cost,0.0005668276621519,0.0760170798977582,ns,ns +,5
sentence,0,0,mean_nonzero_TF,claude-sonnet-4-0_clear_prompt,0.0011029262620573,0.4605929744629793,ns,ns +,5
sentence,0,0,mean_nonzero_TF,coleman_liau_index,-0.0004947028284435,0.7168145553620644,ns,ns -,5
sentence,0,0,mean_nonzero_TF,cpidr_density,-0.0001899600313423,0.6101941681547356,ns,ns -,5
sentence,0,0,mean_nonzero_TF,dale_chall_score,0.0005294788699228,0.4110499609461542,ns,ns +,5
sentence,0,0,mean_nonzero_TF,flesch_kincaid_grade_score,-0.0001420874316116,0.7545143156327023,ns,ns -,5
sentence,0,0,mean_nonzero_TF,flesch_reading_ease,-0.0001278603446336,0.8169731690654776,ns,ns -,5
sentence,0,0,mean_nonzero_TF,gemini-2.0-flash_clear_prompt,-0.0009152512029612,0.0140428509849826,*,* -,5
sentence,0,0,mean_nonzero_TF,gemini-2.5-pro_clear_prompt,0.0006368120293602,0.4354890363861068,ns,ns +,5
sentence,0,0,mean_nonzero_TF,gpt-4o_clear_prompt,0.0004830748179482,0.6807861344983599,ns,ns +,5
sentence,0,0,mean_nonzero_TF,gpt-5_clear_prompt,0.0010943993427819,0.2563900136814578,ns,ns +,5
sentence,0,0,mean_nonzero_TF,gunning_fog_index,-0.0002076219539251,0.4983914539448844,ns,ns -,5
sentence,0,0,mean_nonzero_TF,lexile,0.0001635259489291,0.738266736037385,ns,ns +,5
sentence,0,0,mean_nonzero_TF,llama-3.3-70b-versatile_clear_prompt,0.0009633067620304,0.524734684083201,ns,ns +,5
sentence,0,0,mean_nonzero_TF,mean_entropy_pythia,0.0009937203118804,0.1693943021797775,ns,ns +,5
sentence,0,0,mean_nonzero_TF,text_evaluator,0.0001800098626729,0.6382706226629384,ns,ns +,5
sentence,0,0,mean_nonzero_TF,wordFreq_frequency,0.0002037374378996,0.7464840743302392,ns,ns +,5
sentence,0,0,mean_nonzero_TF,word_length,-0.0001146004718805,0.9253568910517374,ns,ns -,5
